Detail ID,Detail Status,Product Family,Usage Batch Name,RRO Account #,RRO Name,RH Account #,RH Name,Wr Wrk Inst,System Title,Reported Standard Number,Standard Number,Standard Number Type,Fiscal Year,Payment Date,Reported Title,Article,Publisher,Pub Date,Number of Copies,Reported Value,Gross Amt in USD,Batch Amt in USD,Market,Market Period From,Market Period To,Author,Comment,Line,Error Reason
,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,2,Detail ID: Field is required and cannot be null or empty
-12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,3,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
12345678901,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,4,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,5,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,6,Detail ID: Duplicate with Line 5
23456789,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,7,Wr Wrk Inst: Field is required and cannot be null or empty
34567890,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,-98765432,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,8,Wr Wrk Inst: Field value should be positive number
45678901,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,98765432101234567,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,9,Wr Wrk Inst: Field value should not exceed 9 characters
-23456789,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,-98765432,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,10,Wr Wrk Inst: Field value should be positive number
56789012,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,11,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
67890123,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,12,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
78901234,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,,,,,FY2018,03/14/2018,,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv,13,System Title: Field is required and cannot be null or empty
89012345,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters System Title that is contains more than 2000 characters,,978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1978-0-7695-2365-1,VALISBN13VALISBN13VALISBN13VALISBN13VALISBN13VALISBN13,FY2018,03/14/2018,,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,CommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentCommentComment,14,System Title: Field value should not exceed 2000 characters; Standard Number: Field value should not exceed 1000 characters; Standard Number Type: Field value should not exceed 50 characters
