Title,Article,Standard Number,Wr Wrk Inst,RH Account #,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,2,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
1984,,9.78015E+12,123456789,1000009522,,,,60.86,"Univ,Bus,Doc,S",2015,2014,,3,Market Period To: Field value should not be less than Market Period From
TitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleTitleT,ArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticleArticle,Standard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard NumberStandard Nu,Wr Wrk InstWr Wr,RH Acct NumberRH Acct Number,PublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPublisherPu,12/12/3000,0,1022.50,MarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMarketMar,00999,00999,AuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAuthorAut,7,Title: Field value should not exceed 2000 characters; Article: Field value should not exceed 1000 characters; Standard Number: Field value should not exceed 1000 characters; Wr Wrk Inst: Field value should be positive number; Wr Wrk Inst: Field value should not exceed 15 characters; RH Account #: Field value should be positive number; RH Account #: Field value should not exceed 18 characters; Publisher: Field value should not exceed 1000 characters; Number of Copies: Field value should be positive number; Market: Field value should not exceed 200 characters; Market Period From: Field value should be numeric in range from 1000 to 9999; Market Period To: Field value should be numeric in range from 1000 to 9999; Author: Field value should not exceed 2000 characters
1984,Appendix: The Principles of Newspeak,9.78015E+12,123456789,1000009522,Publisher,12\22/3000,65,-15.55,"Univ,Bus,Doc,S",,10000,"Aarseth, Espen J.",8,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Reported Value: Field value should be greater than 0 after rounding; Market Period From: Field is required and cannot be null or empty; Market Period To: Field value should be numeric in range from 1000 to 9999
1984,Appendix: The Principles of Newspeak,9.78015E+12,0,0,Publisher,12/22/3000,6 5,30.8,"Univ,Bus,Doc,S",12.3,12l,"Aarseth, Espen J.",9,Wr Wrk Inst: Field value should be positive number; RH Account #: Field value should be positive number; Number of Copies: Field value should be positive number; Market Period From: Field value should be numeric in range from 1000 to 9999; Market Period To: Field value should be numeric in range from 1000 to 9999
,,,,,,,,,,,,,,10,Row is incorrect: Expected columns are 13 actual 14
,,,,,,,,,,,,11,Row is incorrect: Expected columns are 13 actual 12
A.M.A. ARCHIVES OF DERMATOLOGY,,0096-5359,,1000004570,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,,13,Wr Wrk Inst: Field value cannot be null or empty if RH Account # field value is presented
,,0096-5359,122890652,1000004570,AMERICAN MEDICAL ASSOCIATION,1/1/2001,,2457.47,"Bus, Doc Del",2015,2016,,16,Work Title: Field value cannot be null or empty when Wr Wrk Inst is not null
